ORDEN;bbdd_query;query;Procedimiento;bbdd_tabla;ORIGEN;DESTINO
225;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;27;TRANSACCIONAL;TRANSACCIONAL.DBO.CLIENTE_TEMP;PROCESOS.DBO.BASE_AUX_CLIENTE
226;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;28;TRANSACCIONAL;TRANSACCIONAL.DBO.CLIENTE_TEMP;PROCESOS.DBO.BASE_AUX_CLIENTE
227;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;29;TRANSACCIONAL;TRANSACCIONAL.DBO.CLIENTE_TEMP;PROCESOS.DBO.BASE_AUX_CLIENTE
228;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;30;TRANSACCIONAL;TRANSACCIONAL.DBO.CLIENTE_TEMP;PROCESOS.DBO.BASE_AUX_CLIENTE
229;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;31;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_RATING_FACTORS_NEW;TRANSACCIONAL.DBO.MI_RATING_FACTORS_NEW
230;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;31;PROCESOS;PROCESOS.DBO.BASE_AUX_CLIENTE;TRANSACCIONAL.DBO.MI_RATING_FACTORS_NEW
231;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;32;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_RATING_FACTORS_NEW;TRANSACCIONAL.DBO.MI_RATING_FACTORS_NEW
232;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;33;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_RATING_FACTORS_NEW;TRANSACCIONAL.DBO.MI_RATING_FACTORS_NEW
233;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;34;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_RATING_FACTORS_NEW;TRANSACCIONAL.DBO.MI_RATING_FACTORS_NEW
234;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;34;PROCESOS;PROCESOS.DBO.BASE_AUXILIAR_MARCA_MODELO;TRANSACCIONAL.DBO.MI_RATING_FACTORS_NEW
235;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;35;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_RATING_FACTORS_NEW;TRANSACCIONAL.DBO.MI_RATING_FACTORS_NEW
236;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;35;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_BASE_TIPO_VEH_RVM_MP;TRANSACCIONAL.DBO.MI_RATING_FACTORS_NEW
237;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;36;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_RATING_FACTORS_NEW;TRANSACCIONAL.DBO.MI_RATING_FACTORS_NEW
238;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;37;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_RATING_FACTORS_NEW;TRANSACCIONAL.DBO.MI_RATING_FACTORS_NEW
239;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;38;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_RATING_FACTORS_NEW;TRANSACCIONAL.DBO.MI_RATING_FACTORS_NEW
240;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;39;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_RATING_FACTORS_NEW;TRANSACCIONAL.DBO.MI_RATING_FACTORS_NEW
241;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;40;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_RATING_FACTORS_NEW;TRANSACCIONAL.DBO.MI_RATING_FACTORS_NEW
242;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;40;PROCESOS;PROCESOS.DBO.BASE_SERIE_DIARIA_MONEDA;TRANSACCIONAL.DBO.MI_RATING_FACTORS_NEW
243;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;41;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_RATING_FACTORS_NEW;TRANSACCIONAL.DBO.MI_RATING_FACTORS_NEW
244;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;41;PROCESOS;PROCESOS.DBO.BASE_FNAC_APROX;TRANSACCIONAL.DBO.MI_RATING_FACTORS_NEW
245;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;42;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_RATING_FACTORS_NEW;TRANSACCIONAL.DBO.MI_RATING_FACTORS_NEW
246;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;42;PROCESOS;PROCESOS.DBO.BASE_AUX_SISGEN_COD;TRANSACCIONAL.DBO.MI_RATING_FACTORS_NEW
247;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;43;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_RATING_FACTORS_NEW;TRANSACCIONAL.DBO.MI_RATING_FACTORS_NEW
248;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;43;TRANSACCIONAL;TRANSACCIONAL.DBO.RM_LP_ZONAS;TRANSACCIONAL.DBO.MI_RATING_FACTORS_NEW
249;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;44;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_RATING_FACTORS_NEW;TRANSACCIONAL.DBO.MI_RATING_FACTORS_NEW
250;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;44;TRANSACCIONAL;TRANSACCIONAL.DBO.RM_LP_CHANNEL;TRANSACCIONAL.DBO.MI_RATING_FACTORS_NEW
251;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;45;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_RATING_FACTORS_NEW;TRANSACCIONAL.DBO.MI_RATING_FACTORS_NEW
252;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;45;TRANSACCIONAL;TRANSACCIONAL.DBO.RM_LP_TOP100_2019;TRANSACCIONAL.DBO.MI_RATING_FACTORS_NEW
253;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;46;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_RATING_FACTORS_NEW;#TMP_RENOV_BASE
254;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;47;;#TMP_RENOV_BASE;#TMP_RENOV1
255;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;47;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_RATING_FACTORS_NEW;#TMP_RENOV1
256;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;48;;#TMP_RENOV1;#TMP_RENOV2
257;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;48;;#TMP_RENOV_BASE;#TMP_RENOV2
258;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;49;;#TMP_RENOV2;#TMP_RENOV3
259;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;49;;#TMP_RENOV_BASE;#TMP_RENOV3
260;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;50;;#TMP_RENOV3;#TMP_RENOV4
261;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;50;;#TMP_RENOV_BASE;#TMP_RENOV4
262;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;51;;#TMP_RENOV4;#TMP_RENOV5
263;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;51;;#TMP_RENOV_BASE;#TMP_RENOV5
264;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;52;;#TMP_RENOV5;#TMP_RENOV6
265;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;52;;#TMP_RENOV_BASE;#TMP_RENOV6
266;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;53;;#TMP_RENOV6;#TMP_RENOV7
267;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;53;;#TMP_RENOV_BASE;#TMP_RENOV7
268;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;54;;#TMP_RENOV7;#TMP_RENOV_FINAL
269;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;54;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_RATING_FACTORS_NEW;#TMP_RENOV_FINAL
270;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;55;;#TMP_RENOV_FINAL;#TMP_PERSISTENCIA_FINAL
271;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;56;;#TMP_PERSISTENCIA_FINAL;#TMP_PERSISTENCIA_FINAL
272;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;57;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_RATING_FACTORS_NEW;TRANSACCIONAL.DBO.MI_RATING_FACTORS_NEW
273;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;57;;#TMP_PERSISTENCIA_FINAL;TRANSACCIONAL.DBO.MI_RATING_FACTORS_NEW
274;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;58;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_RATING_FACTORS_NEW;#AUX_ANTIG_CL_1
275;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;59;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_RATING_FACTORS_NEW;#AUX_ANTIG_CL_2
276;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;59;;#AUX_ANTIG_CL_1;#AUX_ANTIG_CL_2
277;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;60;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_RATING_FACTORS_NEW;TRANSACCIONAL.DBO.MI_RATING_FACTORS_NEW
278;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;60;;#AUX_ANTIG_CL_2;TRANSACCIONAL.DBO.MI_RATING_FACTORS_NEW
279;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;61;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_PASO_PRODUCCION;#AUX_PLANES_X_KM
280;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;62;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_RATING_FACTORS_NEW;TRANSACCIONAL.DBO.MI_RATING_FACTORS_NEW
281;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;62;;#AUX_PLANES_X_KM;TRANSACCIONAL.DBO.MI_RATING_FACTORS_NEW
282;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;63;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_RATING_FACTORS_NEW;TRANSACCIONAL.DBO.MI_RATING_FACTORS_NEW
283;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;63;TRANSACCIONAL;TRANSACCIONAL.DBO.SISGEN_ALG_WR_UP_FINAL;TRANSACCIONAL.DBO.MI_RATING_FACTORS_NEW
284;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;64;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_RATING_FACTORS_NEW;#MI_PRIMA_EMITIDA_PERSONAL
285;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;64;TRANSACCIONAL;TRANSACCIONAL.DBO.RM_LP_RF_BASE_RATES;#MI_PRIMA_EMITIDA_PERSONAL
286;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;64;TRANSACCIONAL;TRANSACCIONAL.DBO.RM_LP_RF_EDAD;#MI_PRIMA_EMITIDA_PERSONAL
287;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;64;TRANSACCIONAL;TRANSACCIONAL.DBO.RM_LP_RF_ANTIG_CL_RUT_CHANNEL;#MI_PRIMA_EMITIDA_PERSONAL
288;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;64;TRANSACCIONAL;TRANSACCIONAL.DBO.RM_LP_RF_ZONAS;#MI_PRIMA_EMITIDA_PERSONAL
289;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;64;TRANSACCIONAL;TRANSACCIONAL.DBO.RM_LP_RF_CHANNEL;#MI_PRIMA_EMITIDA_PERSONAL
290;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;64;TRANSACCIONAL;TRANSACCIONAL.DBO.RM_LP_RF_DEDUCIBLES;#MI_PRIMA_EMITIDA_PERSONAL
291;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;64;TRANSACCIONAL;TRANSACCIONAL.DBO.RM_LP_RF_ANTVEH;#MI_PRIMA_EMITIDA_PERSONAL
292;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;64;TRANSACCIONAL;TRANSACCIONAL.DBO.RM_LP_RF_TOP100_2019;#MI_PRIMA_EMITIDA_PERSONAL
293;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;64;TRANSACCIONAL;TRANSACCIONAL.DBO.RM_LP_RF_TIPO;#MI_PRIMA_EMITIDA_PERSONAL
294;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;64;TRANSACCIONAL;TRANSACCIONAL.DBO.RM_LP_RF_NEW_SA;#MI_PRIMA_EMITIDA_PERSONAL
295;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;64;TRANSACCIONAL;TRANSACCIONAL.DBO.RM_LP_RF_SINIG1G2_0_36;#MI_PRIMA_EMITIDA_PERSONAL
296;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;64;TRANSACCIONAL;TRANSACCIONAL.DBO.RM_LP_RF_SINITOT_0_36;#MI_PRIMA_EMITIDA_PERSONAL
297;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;64;TRANSACCIONAL;TRANSACCIONAL.DBO.RM_LP_RF_SINIRC_0_36;#MI_PRIMA_EMITIDA_PERSONAL
298;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;64;TRANSACCIONAL;TRANSACCIONAL.DBO.RM_LP_RF_FLAG_TIPPLAN;#MI_PRIMA_EMITIDA_PERSONAL
299;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;64;TRANSACCIONAL;TRANSACCIONAL.DBO.RM_LP_RF_TIPO_X_KM;#MI_PRIMA_EMITIDA_PERSONAL
300;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;65;;#MI_PRIMA_EMITIDA_PERSONAL;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_PERSONAL
301;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;66;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_PASO_PRODUCCION;#CANTIDAD_ITEMS_POR_POLIZA
302;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;67;;#CANTIDAD_ITEMS_POR_POLIZA;#TAMAÑO_FLOTAS_AGRUPADO
303;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;67;PROCESOS;PROCESOS.DBO.BASE_AUXILIAR_TAMAÑO_AGRUPADO;#TAMAÑO_FLOTAS_AGRUPADO
304;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;68;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_PASO_PRODUCCION;#ACTIVIDAD_SUCURSAL_FLOTA
305;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;68;PROCESOS;PROCESOS.DBO.BASE_AUXILIAR_SUCURSAL;#ACTIVIDAD_SUCURSAL_FLOTA
306;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;68;PROCESOS;PROCESOS.DBO.BASE_FLOTA;#ACTIVIDAD_SUCURSAL_FLOTA
307;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;68;PROCESOS;PROCESOS.DBO.BASE_AUXILIAR_ACTIVIDADES;#ACTIVIDAD_SUCURSAL_FLOTA
308;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;69;;#ACTIVIDAD_SUCURSAL_FLOTA;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_COMME_NEW
309;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;69;;#TAMAÑO_FLOTAS_AGRUPADO;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_COMME_NEW
310;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;69;PROCESOS;PROCESOS.DBO.BASE_AUXILIAR_MARCA_MODELO_NEW;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_COMME_NEW
311;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;69;PROCESOS;PROCESOS.DBO.BASE_SERIE_DIARIA_MONEDA;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_COMME_NEW
312;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;69;PROCESOS;PROCESOS.DBO.BASE_MAESTRO_COMUNAS_REGIONES_ZONAS;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_COMME_NEW
313;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;70;TRANSACCIONAL;TRANSACCIONAL.DBO.BASE_VEHICULOS_RC_2021;#SEGMENTO_POR_PATENTE
314;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;70;TRANSACCIONAL;TRANSACCIONAL.DBO.MC_RM_VEH_SEGMENTACION;#SEGMENTO_POR_PATENTE
315;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;71;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_COMME_NEW;PROCESOS.DBO.BASE_LIVIANO
316;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;71;PROCESOS;PROCESOS.DBO.BASE_AUXILIAR_LIVIANOS_PESADOS;PROCESOS.DBO.BASE_LIVIANO
317;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;71;PROCESOS;PROCESOS.DBO.BASE_AUXILIAR_VALUE;PROCESOS.DBO.BASE_LIVIANO
318;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;71;TRANSACCIONAL;TRANSACCIONAL.DBO.RM_FLOTAS_IND_SPLIT;PROCESOS.DBO.BASE_LIVIANO
319;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;71;TRANSACCIONAL;TRANSACCIONAL.DBO.BASE_VEHICULOS_RC_2021;PROCESOS.DBO.BASE_LIVIANO
320;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;71;;#SEGMENTO_POR_PATENTE;PROCESOS.DBO.BASE_LIVIANO
321;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;72;TRANSACCIONAL;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_COMME_NEW;PROCESOS.DBO.BASE_PESADO
322;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;72;PROCESOS;PROCESOS.DBO.BASE_AUXILIAR_LIVIANOS_PESADOS;PROCESOS.DBO.BASE_PESADO
323;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;72;PROCESOS;PROCESOS.DBO.BASE_AUXILIAR_VALUE;PROCESOS.DBO.BASE_PESADO
324;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;72;TRANSACCIONAL;TRANSACCIONAL.DBO.RM_FLOTAS_IND_SPLIT;PROCESOS.DBO.BASE_PESADO
325;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;72;TRANSACCIONAL;TRANSACCIONAL.DBO.BASE_VEHICULOS_RC_2021;PROCESOS.DBO.BASE_PESADO
326;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;72;;#SEGMENTO_POR_PATENTE;PROCESOS.DBO.BASE_PESADO
327;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;73;PROCESOS;PROCESOS.DBO.BASE_PESADO;#MI_PRIMA_EMITIDA_COMMERCIAL_PESADO
328;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;73;TRANSACCIONAL;TRANSACCIONAL.DBO.RM_LC_RF_BASE_RATES_PES;#MI_PRIMA_EMITIDA_COMMERCIAL_PESADO
329;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;73;TRANSACCIONAL;TRANSACCIONAL.DBO.RM_LC_RF_DEDUCIBLE_PES;#MI_PRIMA_EMITIDA_COMMERCIAL_PESADO
330;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;73;TRANSACCIONAL;TRANSACCIONAL.DBO.RM_LC_RF_ANTVEH_PES;#MI_PRIMA_EMITIDA_COMMERCIAL_PESADO
331;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;73;TRANSACCIONAL;TRANSACCIONAL.DBO.RM_LC_RF_TAMAÑO_PES;#MI_PRIMA_EMITIDA_COMMERCIAL_PESADO
332;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;73;TRANSACCIONAL;TRANSACCIONAL.DBO.RM_LC_RF_ACTIVIDAD_PES;#MI_PRIMA_EMITIDA_COMMERCIAL_PESADO
333;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;73;TRANSACCIONAL;TRANSACCIONAL.DBO.RM_LC_RF_COMUNA_PES;#MI_PRIMA_EMITIDA_COMMERCIAL_PESADO
334;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;73;TRANSACCIONAL;TRANSACCIONAL.DBO.RM_LC_RF_MARCA_MODELO_PES;#MI_PRIMA_EMITIDA_COMMERCIAL_PESADO
335;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;73;TRANSACCIONAL;TRANSACCIONAL.DBO.RM_LC_RF_FLAG_TIPPLAN;#MI_PRIMA_EMITIDA_COMMERCIAL_PESADO
336;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;73;PROCESOS;PROCESOS.DBO.BASE_PLANES_TECNICOS;#MI_PRIMA_EMITIDA_COMMERCIAL_PESADO
337;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;74;;#MI_PRIMA_EMITIDA_COMMERCIAL_PESADO;TRANSACCIONAL.DBO.MI_PRIMA_EMITIDA_COMMERCIAL_PES
338;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;75;PROCESOS;PROCESOS.DBO.BASE_LIVIANO;#MI_PRIMA_EMITIDA_COMMERCIAL_LIVIANO
339;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;75;TRANSACCIONAL;TRANSACCIONAL.DBO.RM_LC_RF_BASE_RATES_LIV;#MI_PRIMA_EMITIDA_COMMERCIAL_LIVIANO
340;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;75;TRANSACCIONAL;TRANSACCIONAL.DBO.RM_LC_RF_DEDUCIBLE_LIV;#MI_PRIMA_EMITIDA_COMMERCIAL_LIVIANO
341;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;75;TRANSACCIONAL;TRANSACCIONAL.DBO.RM_LC_RF_ANTVEH_LIV;#MI_PRIMA_EMITIDA_COMMERCIAL_LIVIANO
342;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_04;75;TRANSACCIONAL;TRANSACCIONAL.DBO.RM_LC_RF_TAMAÑO_LIV;#MI_PRIMA_EMITIDA_COMMERCIAL_LIVIANO
