ORDEN;bbdd_query;query;Procedimiento;bbdd_tabla;ORIGEN;DESTINO;
326;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;12;;#ULTIMO_ENDOSO;#ULTIMO_ENDOSO;
327;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;12;;#ULTIMO_ENDOSO_DECLARACION_EXISTENCIAS;#ULTIMO_ENDOSO;
328;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;13;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;
329;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;13;;#ULTIMO_ENDOSO;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;
330;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;14;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;
331;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;14;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_PLAN_TECNICO;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;
332;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;15;;#ULTIMO_ENDOSO;#ULTIMO_ENDOSO_ANULACION;
333;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;16;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;
334;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;16;;#ULTIMO_ENDOSO_ANULACION;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;
335;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;17;;#ULTIMO_ENDOSO;#ULTIMO_ENDOSO_CANCELACION;
336;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;18;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;
337;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;18;;#ULTIMO_ENDOSO_CANCELACION;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;
338;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;19;SOL;SOL.S1031EBB.RSASOLDB2.SUACSITE;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_CANCELACION_MASIVA_DETALLE;
339;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;20;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_CANCELACION_MASIVA_DETALLE;#POL_CANCELADA_MASIVA;
340;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;21;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_CANCELACION_MASIVA_DETALLE;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_CANCELACION_MASIVA;
341;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;21;;#POL_CANCELADA_MASIVA;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_CANCELACION_MASIVA;
342;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;22;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;
343;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;22;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_CANCELACION_MASIVA;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;
344;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;23;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL_BASE;#REHABILITACION;
345;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;24;;#REHABILITACION;#REHABILITACION_1;
346;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;25;;#REHABILITACION;#REHABILITACION_2;
347;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;25;;#REHABILITACION_1;#REHABILITACION_2;
348;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;26;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;
349;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;26;;#REHABILITACION_2;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;
350;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;27;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;
351;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;27;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.SURA_MA_VEHICULO;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;
352;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;28;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;
353;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;28;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_SEGMENTACION_VEHICULO;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;
354;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;29;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;
355;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;29;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.SURA_COMPLETO_ITEM;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;
356;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;30;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_INSPECCIONES;#SURA_MOVILIDAD_INSPECCIONES_POLIZA;
357;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;31;;#SURA_MOVILIDAD_INSPECCIONES_POLIZA;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;
358;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;31;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;
359;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;32;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_INSPECCIONES;#SURA_MOVILIDAD_INSPECCIONES_PATENTE;
360;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;33;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;
361;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;33;;#SURA_MOVILIDAD_INSPECCIONES_PATENTE;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;
362;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;34;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;
363;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;34;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_CONTINUIDAD_COBERTURA;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;
364;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;35;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;
365;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;36;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;#INSPECCIONES_2;
366;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;37;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;
367;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;37;;#INSPECCIONES_2;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;
368;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;38;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;
369;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;38;;#INSPECCIONES_2;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;
370;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;39;SGV1864;SGV1864.ANALYTICSABASTECIMIENTO.DBO.BASE_PERSONAS;ALMACEN_DE_DATOS.DBO.SURA_DIRECCION_CLIENTE;
371;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;40;SGV1864;SGV1864.ANALYTICSABASTECIMIENTO.DBO.DIM_CONTACTOS_UNICO_CLIENTE ;ALMACEN_DE_DATOS.DBO.SURA_DIRECCION_CLIENTE;
372;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;41;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.SURA_DIRECCION_CLIENTE;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;
373;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;41;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;
374;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;42;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;
375;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;42;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.SURA_MAESTRO_COMUNAS_REGIONES_ZONAS;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;
376;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;43;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;
377;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;43;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.SURA_MAESTRO_COMUNAS_REGIONES_ZONAS;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;
378;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;44;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.SURA_TBACSTGE;#SUCURSAL;
379;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;45;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;
380;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;45;;#SUCURSAL;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;
381;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;46;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;
382;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;46;PROCESOS;PROCESOS.DBO.BASE_PLANES_TECNICOS;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;
383;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;47;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;
384;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;47;TRANSACCIONAL;TRANSACCIONAL.DBO.BASE_CORREDOR_EJECUTIVO_CA2;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;
385;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;48;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;#CHANNEL_BUSINESS_UNIT;
386;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;49;;#CHANNEL_BUSINESS_UNIT;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;
387;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;49;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;
388;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;50;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;
389;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;50;SGF1016;SGF1016.SQLMISFACT.DBO.DIMCANAL;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;
390;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;51;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;
391;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;51;SGF1016;SGF1016.SQLMISFACT.DBO.DIMCANAL_DIARIO;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;
392;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;52;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;#PRIMERA_POLIZA_LLAVE_1;
393;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;53;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;#PRIMERA_POLIZA_LLAVE_2;
394;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;53;;#PRIMERA_POLIZA_LLAVE_1;#PRIMERA_POLIZA_LLAVE_2;
395;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;54;;#PRIMERA_POLIZA_LLAVE_2;#PRIMERA_POLIZA_LLAVE_2;
396;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;54;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;#PRIMERA_POLIZA_LLAVE_2;
397;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;55;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;#MATERIA_ASEGURADA_SIN_REPETIR_LLAVE_1;
398;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;56;;#MATERIA_ASEGURADA_SIN_REPETIR_LLAVE_1;#ULTIMO_CICLO_LLAVE_1;
399;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;57;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;#MARCA_RENOVACION;
400;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;58;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;
401;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;58;;#MARCA_RENOVACION;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;
402;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;59;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;#LLAVE_1_POLIZA_MENOR;
403;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;60;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;
404;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;60;;#LLAVE_1_POLIZA_MENOR;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;
405;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;61;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;#ULTIMO_CLICLO;
406;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;62;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;
407;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;62;;#ULTIMO_CLICLO;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;
408;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;63;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;#ULTIMO_CIVLO_PARA_CICLO_0;
409;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;64;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;
410;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;64;;#ULTIMO_CIVLO_PARA_CICLO_0;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;
411;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;65;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;#PRIMERA_POLIZA_LLAVE_3;
412;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;66;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;#PRIMERA_POLIZA_LLAVE_4;
413;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;66;;#PRIMERA_POLIZA_LLAVE_3;#PRIMERA_POLIZA_LLAVE_4;
414;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;67;;#PRIMERA_POLIZA_LLAVE_4;#PRIMERA_POLIZA_LLAVE_4;
415;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;67;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;#PRIMERA_POLIZA_LLAVE_4;
416;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;68;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;#MATERIA_ASEGURADA_SIN_REPETIR_LLAVE_2;
417;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;69;;#MATERIA_ASEGURADA_SIN_REPETIR_LLAVE_2;#ULTIMO_CICLO_LLAVE_2;
418;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;70;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;#LLAVE_2_POLIZA_MENOR;
419;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.04_SP_SURA_MOVILIDAD_TRANSACCIONAL;71;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;
